gh_id,name,topics,Topics Predicted,max similarity,min similarity,mean similarity,median similarity
216602979,LIRICAL,"Java
diagnosis","computer science
software
artificial intelligence
interaction science
engineering
automation
statistics",1.4403615823901665,1.072636802264849,1.2564991923275077,1.2564991923275077
199330464,wikidata_ontomatcher,Prolog,"Wikidata
online database
knowledge base
knowledge graph
semantic wiki
Linked Open Data cloud diagram
Semantic Web",1.3350010667323402,1.3350010667323402,1.3350010667323402,1.3350010667323402
253207181,ro-crate-ruby,Ruby,"information
abstract object
advertising
data
creative work
level
message",1.072636802264849,1.072636802264849,1.072636802264849,1.072636802264849
212556220,Misc_Training_scripts,database,"species
taxonomic rank
subgenus
rank
subseries
rank
population",1.55814461804655,1.55814461804655,1.55814461804655,1.55814461804655
90349931,elda,Java,"document
branch of science
construction
specialty
occupation
education
cartography",1.2396908869280152,1.2396908869280152,1.2396908869280152,1.2396908869280152
126633812,music-genre-classification,"music
classification","mass media
machine learning
computer science
specialty
artificial intelligence
art
musicology",1.6916760106710724,1.55814461804655,1.6249103143588113,1.6249103143588113
173520377,probabilistic_nlg,Python,"statistics
mathematics
stochastic
formal science
automation
science
statistical method",0.5465437063680699,0.5465437063680699,0.5465437063680699,0.5465437063680699
103798851,DataStructures-Algorithms-InC,"Algorithms
C","mathematics
algorithm
mathematical object
formal science
number
mathematical concept
computer science",3.6375861597263857,1.1526795099383855,2.3951328348323857,2.3951328348323857
153249816,Music-Generation-Using-Deep-Learning,Python,"mathematics
architecture
software
specialty
library science
machine learning
automation",0.8649974374866046,0.8649974374866046,0.8649974374866046,0.8649974374866046
170129937,evaluomeR,"evaluation
R","statistics
data
mathematics
database
concept
abstract object
edition philology",1.4403615823901665,1.3350010667323402,1.3876813245612534,1.3876813245612534
57412597,hemodonacion,R,"mathematics
science
protein
genetics
statistics
computer science
mass media",1.072636802264849,1.072636802264849,1.072636802264849,1.072636802264849
46532803,DnaCompress,"DNA
C","mathematics
information science
computer science
software
algorithm
computer
work",1.1526795099383855,0.9985288301111273,1.0756041700247563,1.0756041700247563
95547920,trackhub-creator,Python,"software
economics
philosophy
service
statistics
logic
business",0.5930637220029626,0.5930637220029626,0.5930637220029626,0.5930637220029626
94098106,libpogo,Java,"library science
library
document
information science
software
special collections
specialty",1.3350010667323402,1.3350010667323402,1.3350010667323402,1.3350010667323402
83849237,vimrc,vim,"nerd
pejorative
character type
reappropriation
Category:Nerds
term
Category:Pejoratives",1.1526795099383855,1.1526795099383855,1.1526795099383855,1.1526795099383855
